"","participantNo","mode","forCond","mST"
"1",1,"mouse","mouse,touch",811.5
"2",1,"mouse","mouse,pen",932.5
"3",1,"mouse","mouse,trackpad",759.333333333333
"4",1,"pen","trackpad,pen",570.833333333333
"5",1,"pen","pen,touch",569.333333333333
"6",1,"pen","mouse,pen",662.5
"7",1,"touch","pen,touch",679.333333333333
"8",1,"touch","mouse,touch",590.333333333333
"9",1,"touch","trackpad,touch",560.333333333333
"10",1,"trackpad","trackpad,pen",1635.16666666667
"11",1,"trackpad","trackpad,touch",883.833333333333
"12",1,"trackpad","mouse,trackpad",1238.66666666667
"13",2,"mouse","mouse,pen",634.5
"14",2,"mouse","mouse,trackpad",691
"15",2,"mouse","mouse,touch",771.833333333333
"16",2,"pen","trackpad,pen",490.833333333333
"17",2,"pen","mouse,pen",439.666666666667
"18",2,"pen","pen,touch",661.5
"19",2,"touch","pen,touch",592
"20",2,"touch","trackpad,touch",474.833333333333
"21",2,"touch","mouse,touch",524.666666666667
"22",2,"trackpad","trackpad,pen",676.5
"23",2,"trackpad","trackpad,touch",733.166666666667
"24",2,"trackpad","mouse,trackpad",629.833333333333
"25",3,"mouse","mouse,pen",775.5
"26",3,"mouse","mouse,touch",997.333333333333
"27",3,"mouse","mouse,trackpad",917.833333333333
"28",3,"pen","trackpad,pen",617.333333333333
"29",3,"pen","mouse,pen",519.666666666667
"30",3,"pen","pen,touch",428.333333333333
"31",3,"touch","trackpad,touch",537.166666666667
"32",3,"touch","mouse,touch",546
"33",3,"touch","pen,touch",493.666666666667
"34",3,"trackpad","trackpad,pen",975
"35",3,"trackpad","trackpad,touch",797.833333333333
"36",3,"trackpad","mouse,trackpad",898.166666666667
"37",4,"mouse","mouse,trackpad",785
"38",4,"mouse","mouse,touch",775.166666666667
"39",4,"mouse","mouse,pen",723.166666666667
"40",4,"pen","trackpad,pen",489
"41",4,"pen","mouse,pen",550.833333333333
"42",4,"pen","pen,touch",534.5
"43",4,"touch","trackpad,touch",646.333333333333
"44",4,"touch","mouse,touch",573.666666666667
"45",4,"touch","pen,touch",523.666666666667
"46",4,"trackpad","trackpad,pen",778.666666666667
"47",4,"trackpad","trackpad,touch",798.333333333333
"48",4,"trackpad","mouse,trackpad",884
"49",5,"mouse","mouse,pen",949.333333333333
"50",5,"mouse","mouse,touch",917.166666666667
"51",5,"mouse","mouse,trackpad",1082.66666666667
"52",5,"pen","trackpad,pen",465.166666666667
"53",5,"pen","mouse,pen",565.166666666667
"54",5,"pen","pen,touch",525
"55",5,"touch","pen,touch",532.833333333333
"56",5,"touch","mouse,touch",496.833333333333
"57",5,"touch","trackpad,touch",474
"58",5,"trackpad","trackpad,pen",1142.83333333333
"59",5,"trackpad","trackpad,touch",1018.16666666667
"60",5,"trackpad","mouse,trackpad",1004.83333333333
"61",6,"mouse","mouse,pen",1017.16666666667
"62",6,"mouse","mouse,trackpad",575.333333333333
"63",6,"mouse","mouse,touch",610.666666666667
"64",6,"pen","trackpad,pen",466.5
"65",6,"pen","mouse,pen",618.833333333333
"66",6,"pen","pen,touch",553.5
"67",6,"touch","mouse,touch",502.333333333333
"68",6,"touch","trackpad,touch",702.5
"69",6,"touch","pen,touch",521
"70",6,"trackpad","trackpad,pen",804.666666666667
"71",6,"trackpad","mouse,trackpad",660.833333333333
"72",6,"trackpad","trackpad,touch",1029
"73",7,"mouse","mouse,touch",968.5
"74",7,"mouse","mouse,pen",1187.5
"75",7,"mouse","mouse,trackpad",1003.66666666667
"76",7,"pen","trackpad,pen",661.666666666667
"77",7,"pen","pen,touch",661.333333333333
"78",7,"pen","mouse,pen",831.666666666667
"79",7,"touch","pen,touch",679
"80",7,"touch","trackpad,touch",739.833333333333
"81",7,"touch","mouse,touch",588.5
"82",7,"trackpad","trackpad,pen",1430.33333333333
"83",7,"trackpad","trackpad,touch",1173.33333333333
"84",7,"trackpad","mouse,trackpad",1228.16666666667
"85",8,"mouse","mouse,pen",1013
"86",8,"mouse","mouse,touch",1200.83333333333
"87",8,"mouse","mouse,trackpad",1017.16666666667
"88",8,"pen","trackpad,pen",517.666666666667
"89",8,"pen","mouse,pen",582.5
"90",8,"pen","pen,touch",631.5
"91",8,"touch","mouse,touch",679.333333333333
"92",8,"touch","trackpad,touch",547.666666666667
"93",8,"touch","pen,touch",683.333333333333
"94",8,"trackpad","trackpad,pen",1140.83333333333
"95",8,"trackpad","trackpad,touch",865.333333333333
"96",8,"trackpad","mouse,trackpad",835.333333333333
"97",9,"mouse","mouse,trackpad",860.5
"98",9,"mouse","mouse,touch",949.166666666667
"99",9,"mouse","mouse,pen",892.666666666667
"100",9,"pen","trackpad,pen",703.5
"101",9,"pen","mouse,pen",634.5
"102",9,"pen","pen,touch",593.666666666667
"103",9,"touch","mouse,touch",674.166666666667
"104",9,"touch","trackpad,touch",603
"105",9,"touch","pen,touch",645.166666666667
"106",9,"trackpad","trackpad,pen",1486
"107",9,"trackpad","mouse,trackpad",1182.5
"108",9,"trackpad","trackpad,touch",816
"109",10,"mouse","mouse,pen",791.166666666667
"110",10,"mouse","mouse,trackpad",938.833333333333
"111",10,"mouse","mouse,touch",1216.33333333333
"112",10,"pen","trackpad,pen",517.166666666667
"113",10,"pen","mouse,pen",617
"114",10,"pen","pen,touch",593.5
"115",10,"touch","pen,touch",543
"116",10,"touch","mouse,touch",1099.83333333333
"117",10,"touch","trackpad,touch",565.833333333333
"118",10,"trackpad","trackpad,pen",839
"119",10,"trackpad","mouse,trackpad",1370.16666666667
"120",10,"trackpad","trackpad,touch",927.833333333333
"121",11,"mouse","mouse,touch",838
"122",11,"mouse","mouse,pen",988
"123",11,"mouse","mouse,trackpad",1131
"124",11,"pen","trackpad,pen",548.666666666667
"125",11,"pen","mouse,pen",554.5
"126",11,"pen","pen,touch",545.166666666667
"127",11,"touch","trackpad,touch",611.666666666667
"128",11,"touch","mouse,touch",509.166666666667
"129",11,"touch","pen,touch",512.666666666667
"130",11,"trackpad","trackpad,pen",846
"131",11,"trackpad","trackpad,touch",861
"132",11,"trackpad","mouse,trackpad",941.166666666667
"133",12,"mouse","mouse,trackpad",999.666666666667
"134",12,"mouse","mouse,touch",819.666666666667
"135",12,"mouse","mouse,pen",970.833333333333
"136",12,"pen","trackpad,pen",576.833333333333
"137",12,"pen","pen,touch",600.666666666667
"138",12,"pen","mouse,pen",633.166666666667
"139",12,"touch","pen,touch",541.833333333333
"140",12,"touch","mouse,touch",541.666666666667
"141",12,"touch","trackpad,touch",718.166666666667
"142",12,"trackpad","trackpad,pen",1076.5
"143",12,"trackpad","mouse,trackpad",889.333333333333
"144",12,"trackpad","trackpad,touch",1224.16666666667
