participantNo,task,condition,forCond,mode,block,trialNo,missCount,dockingTime,wrongModeCount,posMissCount,prevMode
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,0,804,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,2,0,942,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,3,0,1239,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,4,0,1043,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,5,0,1089,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,6,0,1018,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,7,0,1064,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,1,0,1090,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,0,1047,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,3,0,1150,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,4,0,778,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,5,0,759,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,6,0,704,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,7,0,935,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,0,1120,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,2,0,920,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,3,0,1030,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,4,0,1057,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,5,0,732,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,6,0,1049,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,7,0,1719,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,1,0,701,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,0,972,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,3,0,821,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,4,0,1181,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,5,0,836,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,6,0,986,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,7,0,1030,0,1,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,0,1180,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,2,2,491,0,2,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,3,0,1645,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,4,0,2051,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,5,0,1332,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,6,0,969,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,7,0,1150,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,1,0,982,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,0,834,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,3,0,1135,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,4,0,835,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,5,0,1479,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,6,0,1183,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,7,0,986,0,0,mouse
10,baseline,"pen,pen","mouse,pen",pen,1,1,0,1053,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,1,2,0,702,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,1,3,0,590,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,1,4,0,745,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,1,5,0,707,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,1,6,0,664,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,1,7,0,679,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,2,1,1,224,0,1,pen
10,baseline,"pen,pen","mouse,pen",pen,2,2,0,704,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,2,3,0,726,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,2,4,0,947,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,2,5,0,705,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,2,6,0,652,0,0,pen
10,baseline,"pen,pen","mouse,pen",pen,2,7,0,637,0,0,pen
10,baseline,"pen,pen","pen,touch",pen,1,1,0,649,0,0,pen
10,baseline,"pen,pen","pen,touch",pen,1,2,0,625,0,0,pen
10,baseline,"pen,pen","pen,touch",pen,1,3,0,682,0,0,pen
10,baseline,"pen,pen","pen,touch",pen,1,4,0,698,0,0,pen
