participantNo,task,condition,forCond,mode,block,oldBlock,trialNo,missCount,dockingTime,wrongModeCount,posMissCount,prevMode
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,1,0,1187,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,2,0,838,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,3,0,1152,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,4,0,1122,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,5,0,887,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,6,0,1831,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,7,0,1031,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,8,0,1232,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,1,0,1045,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,2,0,835,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,3,0,929,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,4,0,964,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,5,0,739,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,6,0,827,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,7,0,1052,0,0,mouse
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,8,0,740,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,1,1,885,0,1,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,2,0,1010,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,3,0,694,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,4,0,955,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,5,0,920,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,6,0,726,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,7,1,266,0,1,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,8,0,874,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,1,0,695,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,2,0,1642,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,3,0,787,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,4,0,797,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,5,1,693,0,1,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,6,0,649,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,7,0,755,0,0,mouse
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,8,0,783,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,1,0,707,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,2,0,716,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,3,0,819,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,4,0,762,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,5,0,797,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,6,0,696,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,7,0,865,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,8,0,289,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,1,0,1011,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,2,0,783,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,3,0,1041,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,4,0,853,0,0,mouse
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,5,0,829,0,0,mouse
