participantNo,task,condition,forCond,mode,block,cycleNo,cycleType,trialNos,switchingTime,switchMissCount,wrongModeCount,posMissCount,msTimeA,msTimeB,msTimeC
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,A,"1,2",1020,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,A,"3,4",934,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,A,"5,6",693,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,2,1,A,"1,2",678,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,2,1,A,"3,4",750,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,2,1,A,"5,6",672,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,A,"1,2",1160,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,A,"3,4",1070,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,A,"5,6",780,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,1,A,"1,2",897,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,1,A,"3,4",977,0,0,0,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,1,A,"5,6",749,0,0,0,0,0,0
10,baseline,"mouse,mouse","touch,mouse",mouse,1,1,A,"1,2",2098,0,0,0,0,0,0
10,baseline,"mouse,mouse","touch,mouse",mouse,1,1,A,"3,4",1623,0,0,0,0,0,0
10,baseline,"mouse,mouse","touch,mouse",mouse,1,1,A,"5,6",994,0,0,0,0,0,0
10,baseline,"mouse,mouse","touch,mouse",mouse,2,1,A,"1,2",975,0,0,0,0,0,0
10,baseline,"mouse,mouse","touch,mouse",mouse,2,1,A,"3,4",766,0,0,0,0,0,0
10,baseline,"mouse,mouse","touch,mouse",mouse,2,1,A,"5,6",842,0,0,0,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,1,1,A,"1,2",577,0,0,0,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,1,1,A,"3,4",613,0,0,0,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,1,1,A,"5,6",697,0,0,0,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,2,1,A,"1,2",694,0,0,0,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,2,1,A,"3,4",556,0,0,0,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,2,1,A,"5,6",565,0,0,0,0,0,0
10,baseline,"pen,pen","pen,touch",pen,1,1,A,"1,2",636,0,0,0,0,0,0
10,baseline,"pen,pen","pen,touch",pen,1,1,A,"3,4",550,0,0,0,0,0,0
10,baseline,"pen,pen","pen,touch",pen,1,1,A,"5,6",568,0,0,0,0,0,0
10,baseline,"pen,pen","pen,touch",pen,2,1,A,"1,2",544,0,0,0,0,0,0
10,baseline,"pen,pen","pen,touch",pen,2,1,A,"3,4",601,0,0,0,0,0,0
10,baseline,"pen,pen","pen,touch",pen,2,1,A,"5,6",662,0,0,0,0,0,0
10,baseline,"pen,pen","trackpad,pen",pen,1,1,A,"1,2",640,0,0,0,0,0,0
10,baseline,"pen,pen","trackpad,pen",pen,1,1,A,"3,4",566,0,0,0,0,0,0
10,baseline,"pen,pen","trackpad,pen",pen,1,1,A,"5,6",536,0,0,0,0,0,0
