participantNo,task,condition,forCond,mode,block,oldBlock,cycleNo,cycleType,trialNos,switchingTime,switchMissCount,msToken,location,wrongModeCount,posMissCount,msTimeB
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,1,A,"1,2",5269,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,1,A,"3,4",2894,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,1,A,"5,6",4118,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,1,1,1,A,"7,8",2636,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,1,A,"1,2",2275,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,1,A,"3,4",2217,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,1,A,"5,6",2041,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,pen",mouse,2,2,1,A,"7,8",1814,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,1,A,"1,2",2231,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,1,A,"3,4",2296,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,1,A,"5,6",1847,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,touch",mouse,1,1,1,A,"7,8",2029,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,1,A,"1,2",2853,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,1,A,"3,4",1960,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,1,A,"5,6",1826,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,touch",mouse,2,2,1,A,"7,8",1941,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,1,A,"1,2",1702,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,1,A,"3,4",1667,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,1,A,"5,6",1736,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,1,1,1,A,"7,8",2784,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,1,A,"1,2",1757,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,1,A,"3,4",1746,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,1,A,"5,6",1667,0,none,none,0,0,0
10,baseline,"mouse,mouse","mouse,trackpad",mouse,2,2,1,A,"7,8",3511,0,none,none,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,1,1,1,A,"1,2",1680,0,none,none,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,1,1,1,A,"3,4",1995,0,none,none,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,1,1,1,A,"5,6",1762,0,none,none,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,1,1,1,A,"7,8",1740,0,none,none,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,2,2,1,A,"1,2",1483,0,none,none,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,2,2,1,A,"3,4",1453,0,none,none,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,2,2,1,A,"5,6",2011,0,none,none,0,0,0
10,baseline,"pen,pen","mouse,pen",pen,2,2,1,A,"7,8",1577,0,none,none,0,0,0
10,baseline,"pen,pen","pen,trackpad",pen,1,1,1,A,"1,2",1396,0,none,none,0,0,0
10,baseline,"pen,pen","pen,trackpad",pen,1,1,1,A,"3,4",1508,0,none,none,0,0,0
10,baseline,"pen,pen","pen,trackpad",pen,1,1,1,A,"5,6",2225,0,none,none,0,0,0
10,baseline,"pen,pen","pen,trackpad",pen,1,1,1,A,"7,8",1343,0,none,none,0,0,0
10,baseline,"pen,pen","pen,trackpad",pen,2,2,1,A,"1,2",1622,0,none,none,0,0,0
10,baseline,"pen,pen","pen,trackpad",pen,2,2,1,A,"3,4",1511,0,none,none,0,0,0
10,baseline,"pen,pen","pen,trackpad",pen,2,2,1,A,"5,6",1509,0,none,none,0,0,0
10,baseline,"pen,pen","pen,trackpad",pen,2,2,1,A,"7,8",1516,0,none,none,0,0,0
10,baseline,"pen,pen","touch,pen",pen,1,1,1,A,"1,2",1465,0,none,none,0,0,0
10,baseline,"pen,pen","touch,pen",pen,1,1,1,A,"3,4",1488,0,none,none,0,0,0
10,baseline,"pen,pen","touch,pen",pen,1,1,1,A,"5,6",1686,0,none,none,0,0,0
